t,id,state,state_time,face_mode,need_move,plant,bond,solid,slot_dist,slot_locked,mag,heading_deg,want_deg,travel_deg,unit_err_deg,travel_err_deg,reason
21.0,36,turning,0.333,unit,0,1,1,1,0.207,1,0.266,14.1,0.0,98.2,14.1,84.1,plant_dress_turn
21.5,13,turning,0.1,travel,1,0,1,0,0.369,1,1.7,21.1,100.6,100.6,21.1,79.5,travel_path:turning
21.5,34,turning,0.1,travel,1,0,1,0,0.391,1,1.429,338.9,291.2,291.2,21.1,47.7,travel_path:turning
22.0,12,turning,0.2,travel,1,0,1,0,0.287,1,0.959,317.8,252.0,252.0,42.2,65.9,travel_path:turning
22.0,13,turning,0.6,unit,0,1,1,1,0.369,1,0.509,28.1,0.0,181.5,28.1,153.4,plant_dress_turn
22.0,19,turning,0.2,unit,0,1,1,1,0.292,1,0.212,28.1,0.0,95.6,28.1,67.5,plant_dress_turn
22.0,33,turning,0.333,unit,0,1,1,1,0.342,1,0.091,14.1,0.0,94.7,14.1,80.7,plant_dress_turn
22.5,10,turning,0.033,travel,1,0,1,0,0.279,1,1.516,7.0,98.0,98.0,7.0,91.0,travel_path:turning
22.5,17,turning,0.1,travel,1,0,1,0,0.243,1,1.189,338.9,273.1,273.1,21.1,65.9,travel_path:turning
22.5,31,turning,0.1,travel,1,0,1,0,0.271,1,1.578,338.9,250.3,250.3,21.1,88.6,travel_path:turning
22.5,32,turning,0.3,unit,0,1,1,1,0.396,1,0.25,353.0,0.0,228.3,7.0,124.7,plant_dress_turn
22.5,38,turning,0.1,travel,1,0,1,0,0.234,1,1.166,21.1,65.9,65.9,21.1,44.8,travel_path:turning
23.0,30,turning,0.333,unit,0,1,1,1,0.327,1,0.555,14.1,0.0,64.1,14.1,50.1,plant_dress_turn
23.5,21,turning,0.167,unit,0,1,1,0,0.219,1,0.759,7.0,0.0,134.9,7.0,127.9,plant_dress_turn
23.5,28,turning,0.1,travel,1,0,1,0,0.284,1,1.592,338.9,268.5,268.5,21.1,70.4,travel_path:turning
24.0,6,turning,0.3,unit,0,1,1,1,0.4,1,0.474,338.9,0.0,279.0,21.1,59.9,plant_dress_turn
24.0,13,turning,0.2,unit,0,1,1,1,0.369,1,0.646,28.1,0.0,115.9,28.1,87.7,plant_dress_turn
